article_id,published_at,source,category,title,article_text,brand_mentioned,cluster
NEWS-01837,2025-01-01 00:00:00,Metro Journal,Technology,Chip developments reshape technology outlook involving OpenAI,"A new chip report highlights cybersecurity and software developments in the technology sector involving OpenAI. Analysts discuss possible effects on audiences, organizations, and future planning.",OpenAI,4
NEWS-03179,2025-01-01 00:00:00,Morning Brief,World,Humanitarian developments reshape world outlook involving Microsoft,"A new humanitarian report highlights conflict and summit developments in the world sector involving Microsoft. Analysts discuss possible effects on audiences, organizations, and future planning.",Microsoft,7
NEWS-00744,2025-01-01 01:00:00,Insight News,Health,Public Health developments reshape health outlook,"A new public health report highlights vaccine and wellness developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,6
NEWS-00647,2025-01-01 01:00:00,Daily Ledger,World,Diplomacy developments reshape world outlook involving Netflix,"A new diplomacy report highlights summit and trade developments in the world sector involving Netflix. Analysts discuss possible effects on audiences, organizations, and future planning.",Netflix,7
NEWS-02585,2025-01-01 02:00:00,Metro Journal,Science,Space developments reshape science outlook,"A new space report highlights discovery and research developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,2
NEWS-03606,2025-01-01 02:00:00,Daily Ledger,Science,Space developments reshape science outlook,"A new space report highlights energy and research developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,2
NEWS-02880,2025-01-01 04:00:00,Metro Journal,Business,Retail developments reshape business outlook,"A new retail report highlights earnings and market developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,1
NEWS-01158,2025-01-01 05:00:00,Morning Brief,Technology,Cybersecurity developments reshape technology outlook involving Tesla,"A new cybersecurity report highlights artificial intelligence and startup developments in the technology sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla,4
NEWS-04642,2025-01-01 07:00:00,Metro Journal,Business,Earnings developments reshape business outlook,"A new earnings report highlights strategy and market developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,1
NEWS-00998,2025-01-01 09:00:00,Insight News,Politics,Government developments reshape politics outlook,"A new government report highlights regulation and campaign developments in the politics sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,3
NEWS-01221,2025-01-01 09:00:00,Morning Brief,Business,Retail developments reshape business outlook,"A new retail report highlights investment and strategy developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,1
NEWS-01314,2025-01-01 11:00:00,Global Wire,World,Region developments reshape world outlook,"A new region report highlights summit and diplomacy developments in the world sector. Analysts discuss possible effects on audiences, organizations, and future planning.",,7
